worker,source_file,recording_type,center_seconds,sequence_label,event_subtype,event_peak_acceleration_g,event_peak_gyroscope_dps,event_peak_jerk_g_per_second,event_rotation_integral_deg,posture_change_post_deg,posture_change_late_deg,post_accel_std_g,post_gyro_mean_dps,late_accel_std_g,late_gyro_mean_dps
hong_jean,motion_data (hj).csv,normal_work,92.458,normal,normal_work,1.50699,180.63507,13.22247,180.48982,22.47258,10.11917,0.15354,94.80316,0.15136,105.14492
hong_jean,motion_data (hj).csv,normal_work,93.458,normal,normal_work,1.50699,180.63507,13.22247,203.90515,15.11224,9.23034,0.1723,106.6742,0.14376,99.8847
hong_jean,motion_data (hj).csv,normal_work,94.458,normal,normal_work,1.30016,176.65013,10.1182,163.72477,9.83716,12.08058,0.1619,114.20854,0.14128,99.48319
hong_jean,motion_data (hj).csv,normal_work,95.458,normal,normal_work,1.37162,277.45161,13.89473,210.193,17.94012,19.89629,0.1512,108.08012,0.13146,97.19922
hong_jean,motion_data (hj).csv,normal_work,96.458,normal,normal_work,1.42491,277.45161,13.89473,238.58461,17.81972,20.99784,0.13841,105.90452,0.15671,91.90923
hong_jean,motion_data (hj).csv,normal_work,97.458,normal,normal_work,1.42491,240.14547,8.2718,205.15636,10.86776,16.36505,0.12867,95.31578,0.17028,94.54193
hong_jean,motion_data (hj).csv,normal_work,98.458,normal,normal_work,1.37413,204.63358,10.5511,202.70859,14.13797,17.30139,0.1413,100.86925,0.15909,106.54758
hong_jean,motion_data (hj).csv,normal_work,99.458,normal,normal_work,1.37413,182.52995,10.5511,189.7683,13.91448,18.80433,0.16465,95.29436,0.16087,107.89002
hong_jean,motion_data (hj).csv,normal_work,100.458,normal,normal_work,1.32071,285.13514,9.27507,193.19066,10.46213,15.25499,0.16069,96.50837,0.16142,109.71084
hong_jean,motion_data (hj).csv,normal_work,101.458,normal,normal_work,1.46604,285.13514,9.27507,205.0151,5.98521,10.78926,0.16449,95.44218,0.26677,119.59432
hong_jean,motion_data (hj).csv,normal_work,102.458,normal,normal_work,1.46604,187.7091,9.07553,197.44001,5.66654,3.83256,0.14696,106.60025,0.50118,147.54273
hong_jean,motion_data (hj).csv,normal_work,103.458,normal,normal_work,1.38083,167.28621,21.04355,178.91514,9.81211,13.28,0.17069,119.81223,0.58836,166.93947
hong_jean,motion_data (hj).csv,normal_work,104.458,normal,normal_work,1.38083,208.16727,21.04355,177.18731,9.34094,102.9621,0.15603,112.01422,0.62288,202.50098
hong_jean,motion_data (hj).csv,normal_work,105.458,normal,normal_work,1.2703,211.1819,17.10139,238.78713,3.47068,114.61118,0.45095,128.23023,0.58381,210.84269
hong_jean,motion_data (hj).csv,normal_work,106.458,normal,normal_work,1.39576,222.6687,12.76088,246.08459,8.08962,106.27453,0.59314,170.19324,0.47997,175.01781
hong_jean,motion_data (hj).csv,normal_work,107.458,normal,normal_work,1.39576,222.6687,12.76088,185.72664,112.6741,76.45382,0.63133,190.65321,0.43491,136.58251
hong_jean,motion_data (hj).csv,normal_work,108.458,normal,normal_work,2.36342,249.07138,34.44274,242.91924,109.88698,50.55838,0.56885,222.38112,0.29374,59.46812
hong_jean,motion_data (hj).csv,normal_work,109.458,normal,normal_work,2.97259,527.17349,34.44274,398.03357,110.67552,52.25022,0.5053,186.38155,0.01509,35.40062
hong_jean,motion_data (hj).csv,normal_work,110.458,normal,normal_work,2.97259,527.17349,50.59314,396.91284,101.25796,56.71453,0.46113,159.28644,0.0331,33.69864
hong_jean,motion_data (hj).csv,normal_work,111.458,normal,normal_work,2.67438,554.2383,50.59314,393.6483,52.50827,43.28971,0.31687,69.09876,0.04632,54.16622
hong_jean,motion_data (hj).csv,normal_work,112.458,normal,normal_work,2.70269,554.2383,25.41383,411.35689,56.72271,70.37191,0.01143,26.00801,0.0539,78.77574
kwanteng,KT_Fall_cleaned.csv,fall_like,16.17,fall,fall_recovery,3.04519,1129.87079,44.60436,566.53309,8.66251,13.98561,0.24782,92.05313,0.2078,80.10976
kwanteng,KT_NearMissed_cleaned.csv,near_miss,16.53,near_miss,near_miss,4.01486,1130.86639,44.92667,469.11189,2.35269,9.89037,0.1925,73.29267,0.32254,133.71469
kwanteng,KT_Normal.csv,normal_work,4.029,normal,normal_work,1.81681,477.17482,16.63155,309.03142,108.90107,122.10645,0.04566,26.96409,0.10765,97.32564
kwanteng,KT_Normal.csv,normal_work,5.029,normal,normal_work,1.73763,477.17482,16.63155,332.28824,95.95379,109.72272,0.0595,43.97573,0.10297,88.87726
kwanteng,KT_Normal.csv,normal_work,6.029,normal,normal_work,1.73763,402.84156,16.53594,111.57617,97.83828,117.24115,0.10514,87.76551,0.08227,78.77532
kwanteng,KT_Normal.csv,normal_work,7.029,normal,normal_work,1.02616,45.77704,0.97432,30.02739,63.61239,90.13776,0.10598,100.71906,0.11147,80.90148
kwanteng,KT_Normal.csv,normal_work,8.029,normal,normal_work,1.26157,153.62935,5.32235,89.50113,18.19267,52.42442,0.1031,96.71452,0.15319,87.76472
kwanteng,KT_Normal.csv,normal_work,9.029,normal,normal_work,1.2683,165.58209,9.06457,186.98904,25.44301,56.78946,0.08236,71.88578,0.18939,101.19174
kwanteng,KT_Normal.csv,normal_work,10.029,normal,normal_work,1.2683,434.62466,9.06457,214.15199,33.24114,61.12379,0.10206,78.36952,0.22372,105.58951
kwanteng,KT_Normal.csv,normal_work,11.029,normal,normal_work,1.25702,434.62466,9.04161,178.55935,50.20585,58.55608,0.13878,83.52588,0.24959,104.23665
kwanteng,KT_Normal.csv,normal_work,12.029,normal,normal_work,1.25734,143.99878,5.86453,141.47009,55.81597,59.66435,0.18666,103.93094,0.25491,94.2006
kwanteng,KT_Normal.csv,normal_work,13.029,normal,normal_work,1.25734,274.63911,5.86453,157.6504,49.89883,53.52084,0.22563,107.71875,0.23413,90.69442
kwanteng,KT_Normal.csv,normal_work,14.029,normal,normal_work,1.42557,274.63911,5.94309,169.9146,40.46305,46.40357,0.24133,107.49701,0.23545,87.78593
kwanteng,KT_Normal.csv,normal_work,15.029,normal,normal_work,1.47703,244.82302,11.93669,211.69776,31.50085,38.07205,0.24146,97.79696,0.2421,80.3158
kwanteng,KT_Normal.csv,normal_work,16.029,normal,normal_work,1.47703,244.82302,16.18926,231.29438,23.67355,25.2214,0.24123,88.33466,0.25598,84.70883
kwanteng,KT_Normal.csv,normal_work,17.029,normal,normal_work,1.4906,218.53198,16.18926,174.57737,20.0641,19.24332,0.24551,86.24087,0.23951,84.742
kwanteng,KT_Normal.csv,normal_work,18.029,normal,normal_work,1.4906,189.0743,15.59347,174.95599,12.71988,13.1501,0.23478,83.3669,0.23592,84.50252
kwanteng,KT_Normal.csv,normal_work,19.029,normal,normal_work,1.50704,189.0743,15.59347,187.09472,9.05975,11.0221,0.23212,85.4571,0.21264,93.28862
kwanteng,KT_Normal.csv,normal_work,20.029,normal,normal_work,1.50704,178.25553,13.50725,179.32469,6.14187,5.34161,0.24105,82.75033,0.17874,97.02761
kwanteng,KT_Normal.csv,normal_work,21.029,normal,normal_work,1.48727,155.09471,10.75532,169.45913,8.17034,7.05818,0.24984,84.29738,0.16371,95.28645
kwanteng,KT_Normal.csv,normal_work,22.029,normal,normal_work,1.48727,141.04956,12.26475,156.64294,4.53802,6.8217,0.22124,86.91743,0.1924,100.42835
kwanteng,KT_Normal.csv,normal_work,23.029,normal,normal_work,1.47367,167.34655,17.90328,153.77454,1.47304,4.44716,0.17515,96.9937,0.21932,94.6658
kwanteng,KT_Normal.csv,normal_work,24.029,normal,normal_work,1.47367,167.34655,17.90328,171.40318,3.67308,2.05724,0.14513,97.78469,0.2329,90.25442
kwanteng,KT_Normal.csv,normal_work,25.029,normal,normal_work,1.45417,179.99099,17.29176,175.68342,4.06797,0.32647,0.19532,102.96159,0.2109,82.60272
kwanteng,KT_Normal.csv,normal_work,26.029,normal,normal_work,1.45417,203.0173,17.29176,202.441,2.27915,3.13707,0.20739,98.31438,0.20625,78.7074
kwanteng,KT_Normal.csv,normal_work,27.029,normal,normal_work,1.37024,203.0173,7.47224,215.12094,4.03993,5.95438,0.22919,87.57216,0.18292,80.87036
