worker,recording_type,source_file,packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps
kwanteng,fall_like,KT_Fall_cleaned.csv,115,2026-08-03 12:34:22.816,8.88573,87.58800000000022,-0.26,-0.33,0.9,-0.24,-1.59,-0.43,0.9932270636667127,1.6645119404798512
kwanteng,fall_like,KT_Fall_cleaned.csv,117,2026-08-03 12:34:22.817,8.887091,1.3609999999992795,-0.26,-0.33,0.88,0.18,-0.31,0.06,0.9751410154434075,0.363455636907725
kwanteng,fall_like,KT_Fall_cleaned.csv,118,2026-08-03 12:34:22.859,8.929074,41.983000000000104,-0.26,-0.33,0.88,0.06,-0.79,-0.18,0.9751410154434075,0.8124653838779842
kwanteng,fall_like,KT_Fall_cleaned.csv,120,2026-08-03 12:34:22.947,9.016603,87.52899999999997,-0.26,-0.34,0.89,-0.18,-1.83,-0.79,0.9875727821279807,2.001349544682288
kwanteng,fall_like,KT_Fall_cleaned.csv,122,2026-08-03 12:34:22.948,9.017706,1.1030000000005202,-0.25,-0.34,0.89,-0.12,-2.2,-0.85,0.9849873095629202,2.361546103721035
kwanteng,fall_like,KT_Fall_cleaned.csv,124,2026-08-03 12:34:22.990,9.060035,42.32899999999873,-0.25,-0.34,0.89,0.18,-2.26,-0.31,0.9849873095629202,2.2882526084329062
kwanteng,fall_like,KT_Fall_cleaned.csv,126,2026-08-03 12:34:23.034,9.103968,43.93300000000089,-0.25,-0.33,0.9,0.18,-2.56,-0.06,0.9906563480844405,2.5670216204777083
kwanteng,fall_like,KT_Fall_cleaned.csv,127,2026-08-03 12:34:23.034,9.104345,0.37700000000029377,-0.25,-0.33,0.9,-0.18,-2.38,-0.24,0.9906563480844405,2.3988330496305905
kwanteng,fall_like,KT_Fall_cleaned.csv,129,2026-08-03 12:34:23.121,9.19188,87.53499999999903,-0.25,-0.33,0.9,-0.55,-1.65,-0.79,0.9906563480844405,1.9102617621676878
kwanteng,fall_like,KT_Fall_cleaned.csv,131,2026-08-03 12:34:23.123,9.193648,1.7680000000002138,-0.25,-0.34,0.9,-0.73,-0.73,-0.92,0.994032192637643,1.3828231991111517
kwanteng,fall_like,KT_Fall_cleaned.csv,133,2026-08-03 12:34:23.209,9.279721,86.07300000000073,-0.25,-0.34,0.9,-0.73,0.43,-0.37,0.994032192637643,0.9244998647917694
kwanteng,fall_like,KT_Fall_cleaned.csv,135,2026-08-03 12:34:23.211,9.281106,1.3849999999990814,-0.25,-0.34,0.89,-0.49,0.92,0.43,0.9849873095629202,1.127563745426395
kwanteng,fall_like,KT_Fall_cleaned.csv,136,2026-08-03 12:34:23.296,9.366695,85.58900000000058,-0.25,-0.33,0.89,-0.24,0.49,0.67,0.981580358401695,0.8640601830891179
kwanteng,fall_like,KT_Fall_cleaned.csv,138,2026-08-03 12:34:23.297,9.367864,1.1690000000008638,-0.26,-0.33,0.89,-0.12,0.0,0.31,0.9841747812253675,0.33241540277189324
kwanteng,fall_like,KT_Fall_cleaned.csv,140,2026-08-03 12:34:23.384,9.454371,86.50699999999922,-0.26,-0.33,0.89,-0.12,-0.67,-0.24,0.9841747812253675,0.7217340230306454
kwanteng,fall_like,KT_Fall_cleaned.csv,142,2026-08-03 12:34:23.386,9.455555,1.184000000000296,-0.25,-0.33,0.9,-0.18,-1.34,-0.49,0.9906563480844405,1.4380890097626087
kwanteng,fall_like,KT_Fall_cleaned.csv,144,2026-08-03 12:34:23.471,9.541533,85.977999999999,-0.25,-0.34,0.9,0.12,-1.22,-0.43,0.994032192637643,1.299115083431795
kwanteng,fall_like,KT_Fall_cleaned.csv,145,2026-08-03 12:34:23.471,9.541902,0.3690000000009519,-0.25,-0.34,0.9,0.55,-1.04,-0.12,0.994032192637643,1.1825819210524064
kwanteng,fall_like,KT_Fall_cleaned.csv,146,2026-08-03 12:34:23.472,9.542512,0.6099999999999994,-0.25,-0.34,0.89,0.55,-1.04,-0.12,0.9849873095629202,1.1825819210524064
